Time,Susceptible,Incubating,Contagious,Recovered,Total population,Field 6,Expected poulation growth (days-1),Field 8,Field 9
116.51,2701549.77458880,2220.70803227,310.12673948,959.30909336,2705039.91845391,,,,
117.12,2701360.84796776,2314.88589151,323.28340218,1000.07162875,2704999.08889021,,,,
117.73,2701163.91751006,2413.04642526,336.99683713,1042.56345369,2704956.52422613,,,,
118.34,2700958.64546554,2515.35707588,351.29048655,1086.85774938,2704912.15077735,,,,
118.95,2700744.67994681,2621.99224047,366.18876930,1133.03077824,2704865.89173481,,,,
119.56,2700521.65434752,2733.13355226,381.71712067,1181.16201225,2704817.66703269,,,,
120.17,2700289.18673754,2848.97017288,397.90203367,1231.33426655,2704767.39321064,,,,
120.78,2700046.87923426,2969.69909566,414.77110199,1283.63383852,2704714.98327043,,,,
121.39,2699794.31734908,3095.52546038,432.35306457,1338.15065237,2704660.34652640,,,,
122.00,2699531.06930835,3226.66287989,450.67785183,1394.97840971,2704603.38844978,,,,
122.61,2699256.68534758,3363.33377886,469.77663378,1454.21474617,2704544.01050639,,,,
123.22,2698970.69697833,3505.76974515,489.68186980,1515.96139431,2704482.10998759,,,,
123.83,2698672.61622653,3654.21189411,510.42736040,1580.32435309,2704417.57983412,,,,
124.44,2698361.93484145,3808.91124614,532.04830088,1647.41406415,2704350.30845263,,,,
125.05,2698038.12347419,3970.12911808,554.58133700,1717.34559515,2704280.17952442,,,,
125.66,2697700.63082475,4138.13752857,578.06462264,1790.23883039,2704207.07180636,,,,
126.27,2697348.88275663,4313.21961796,602.53787967,1866.21866909,2704130.85892335,,,,
126.88,2696982.28137782,4495.67008303,628.04245995,1945.41523139,2704051.40915219,,,,
127.49,2696600.20408726,4685.79562701,654.62140950,2027.96407270,2703968.58519647,,,,
128.10,2696202.00258545,4883.91542515,682.31953515,2114.00640629,2703882.24395203,,,,
128.71,2695787.00184836,5090.36160628,711.18347332,2203.68933478,2703792.23626273,,,,
129.32,2695354.49906326,5305.47975074,741.26176142,2297.16609061,2703698.40666603,,,,
129.93,2694903.76252554,5529.62940498,772.60491159,2394.59628587,2703600.59312799,,,,
130.54,2694434.03049522,5763.18461315,805.26548711,2496.14617192,2703498.62676740,,,,
131.15,2693944.51001215,6006.53446607,839.29818124,2601.98890890,2703392.33156837,,,,
131.76,2693434.37566857,6260.08366782,874.75989891,2712.30484578,2703281.52408108,,,,
132.37,2692902.76833804,6524.25312024,911.70984094,2827.28181101,2703166.01311023,,,,
132.98,2692348.79385950,6799.48052560,950.20959116,2947.11541427,2703045.59939053,,,,
133.59,2691771.52167537,7086.22100761,990.32320624,3072.00935974,2702920.07524896,,,,
134.20,2691169.98342248,7384.94775107,1032.11730842,3202.17577110,2702789.22425306,,,,
134.81,2690543.17147486,7696.15266011,1075.66118114,3337.83552873,2702652.82084484,,,,
135.42,2689890.03743723,8020.34703530,1121.02686761,3479.21861953,2702510.62995966,,,,
136.03,2689209.49058808,8358.06226960,1168.28927225,3626.56449962,2702362.40662956,,,,
136.64,2688500.39627154,8709.85056313,1217.52626528,3780.12247043,2702207.89557037,,,,
137.25,2687761.57423682,9076.28565660,1268.81879012,3940.15206853,2702046.83075207,,,,
137.86,2686991.79692454,9457.96358350,1322.25097403,4106.92346956,2701878.93495163,,,,
138.47,2686189.78769905,9855.50344048,1377.91024150,4280.71790669,2701703.91928773,,,,
139.08,2685354.21902588,10269.54817591,1435.88743092,4461.82810403,2701521.48273674,,,,
139.69,2684483.71059381,10700.76539593,1496.27691400,4650.55872533,2701331.31162907,,,,
140.30,2683576.82738100,11149.84818768,1559.17671828,4847.22683839,2701133.07912535,,,,
140.91,2682632.07766454,11617.51595893,1624.68865250,5052.16239561,2700926.44467157,,,,
141.52,2681647.91097334,12104.51529332,1692.91843481,5265.70873092,2700711.05343239,,,,
142.13,2680622.71598412,12611.62082038,1763.97582375,5488.22307371,2700486.53570197,,,,
142.74,2679554.81836045,13139.63609913,1837.97475187,5720.07707981,2700252.50629126,,,,
143.35,2678442.47853509,13689.39451401,1915.03346192,5961.65738017,2700008.56389118,,,,
143.96,2677283.88943602,14261.76018180,1995.27464544,6213.36614737,2699754.29041063,,,,
144.57,2676077.17415685,14857.62886768,2078.82558358,6475.62168035,2699489.25028846,,,,
145.18,2674820.38357234,15477.92890872,2165.81828993,6748.85900767,2699212.98977866,,,,
145.79,2673511.49390039,16123.62214248,2256.38965521,7033.53050954,2698925.03620762,,,,
146.40,2672148.40421184,16795.70483854,2350.68159353,7330.10655885,2698624.89720274,,,,
147.01,2670728.93388995,17495.20863003,2448.84118986,7639.07618144,2698312.05989128,,,,
147.62,2669250.82004180,18223.20144239,2551.02084854,7960.94773576,2697985.99006849,,,,
148.23,2667711.71486410,18980.78841580,2657.37844222,8296.24961202,2697646.13133414,,,,
148.84,2666109.18296652,19769.11281780,2768.07746112,8645.53095095,2697291.90419638,,,,
149.45,2664440.69865611,20589.35694180,2883.28716184,9009.36238215,2696922.70514191,,,,
150.06,2662703.64318674,21442.74298721,3003.18271547,9388.33678203,2696537.90567144,,,,
150.67,2660895.30197828,22330.53391596,3127.94535418,9783.07005120,2696136.85129961,,,,
151.28,2659012.86181077,23254.03428025,3257.76251587,10194.20191109,2695718.86051799,,,,
151.89,2657053.40799941,24214.59101543,3392.82798608,10622.39671969,2695283.22372060,,,,
152.50,2655013.92155697,25213.59419148,3533.34203635,11068.34430582,2694829.20209062,,,,
153.11,2652891.27635124,26252.47771623,3679.51155833,11532.76082164,2694356.02644743,,,,
153.72,2650682.23626536,27332.71998240,3831.55019252,12016.38961281,2693862.89605309,,,,
154.33,2648383.45237059,28455.84445026,3989.67845084,12520.00210554,2693348.97737722,,,,
154.94,2645991.46012117,29623.42015686,4154.12383177,13044.39870975,2692813.40281955,,,,
155.55,2643502.67658271,30837.06214207,4325.12092696,13590.40973737,2692255.26938911,,,,
156.16,2640913.39770599,32098.43178082,4502.91151797,14158.89633469,2691673.63733947,,,,
156.77,2638219.79565969,33409.23701046,4687.74466173,14750.75142732,2691067.52875920,,,,
157.38,2635417.91623650,34771.23244073,4879.87676327,15366.90067651,2690435.92611701,,,,
157.99,2632503.67634844,36186.21933366,5079.57163397,16008.30344497,2689777.77076104,,,,
158.60,2629472.86162867,37656.04543910,5287.10053365,16675.95377031,2689091.96137173,,,,
159.21,2626321.12415822,39182.60467136,5502.74219465,17370.88134407,2688377.35236830,,,,
159.82,2623043.98033813,40767.83661068,5726.78282567,18094.15249394,2687632.75226841,,,,
160.43,2619636.80892830,42413.72581307,5959.51609347,18846.87116634,2686856.92200118,,,,
161.04,2616094.84927681,44122.30091031,6201.24307988,19630.17990679,2686048.57317379,,,,
161.65,2612413.19976448,45895.63348142,6452.27221174,20445.26083450,2685206.36629214,,,,
162.26,2608586.81649176,47735.83667546,6712.91916120,21293.33660776,2684328.90893618,,,,
162.87,2604610.51223653,49645.06356479,6983.50671343,22175.67137630,2683414.75389104,,,,
163.48,2600478.95571333,51625.50520664,7264.36459895,23093.57171617,2682462.39723510,,,,
